pos,key_resp.corr,key_resp.rt,,seq,rand
-50,1,1.1569007,,1.1569007,0.3874704
150,1,0.6292406,,0.6292406,0.4960949
50,1,0.8911016,,0.8911016,0.3816387
-150,1,0.584066,,0.584066,0.6314735
-50,1,0.7956713,,0.7956713,0.5467266
150,1,0.5287758,,0.5287758,0.7352946
50,1,0.8205245,,0.8205245,0.4692406
-150,1,0.3280412,,0.3280412,0.3376146
-50,1,0.8096141,,0.8096141,0.6680227
150,1,0.420818,,0.420818,0.7250854
50,1,0.6696013,,0.6696013,0.3384237
-150,1,0.4448719,,0.4448719,0.3999819
-50,1,0.4514119,,0.4514119,0.2823887
150,1,0.4522793,,0.4522793,0.7167546
50,1,1.8998308,,1.8998308,0.3610991
-150,1,0.3377543,,0.3377543,0.5407807
-50,1,0.3046137,,0.3046137,0.6145466
150,1,0.3511755,,0.3511755,0.5955154
50,1,1.127147,,1.127147,0.4712698
-150,1,0.4760367,,0.4760367,0.3372381
-50,1,0.3771247,,0.3771247,0.566791
150,1,0.3244214,,0.3244214,0.3817208
50,1,0.5582911,,0.5582911,0.4855003
-150,1,0.292762,,0.292762,0.5139951
-50,1,0.3105157,,0.3105157,0.50895
150,1,0.3187166,,0.3187166,0.6175053
50,1,0.7055028,,0.7055028,0.8335018
-150,1,0.3076799,,0.3076799,0.4048616
-50,1,0.3691827,,0.3691827,0.5900257
150,1,0.4440856,,0.4440856,0.5058017
50,1,0.625217,,0.625217,0.6481998
-150,1,0.3072855,,0.3072855,0.4407117
-50,1,0.4078694,,0.4078694,0.8341178
150,1,0.3599932,,0.3599932,0.4340931
50,1,0.6476611,,0.6476611,0.6221202
-150,1,0.2964273,,0.2964273,0.477439
-50,1,0.5889533,,0.5889533,0.7960457
150,1,0.6139849,,0.6139849,0.4842254
50,0,0.5749616,,0.5749616,0.5479677
-150,1,0.4699237,,0.4699237,0.4252489
-50,1,0.529168,,0.529168,0.5168129
150,1,0.500343,,0.500343,0.4464872
50,1,0.8678864,,0.8678864,0.5247506
-150,1,0.3886465,,0.3886465,0.574115
-50,1,0.4197173,,0.4197173,0.4692794
150,1,0.4431728,,0.4431728,0.4596882
50,1,0.7675005,,0.7675005,0.6474233
-150,1,0.5530803,,0.5530803,0.2945595
-50,1,0.8000732,,0.8000732,0.396641
150,1,0.4021154,,0.4021154,0.3791881
50,1,0.6293824,,0.6293824,0.3128157
-150,1,0.3674844,,0.3674844,0.5793824
-50,1,0.5115638,,0.5115638,0.7312443
150,1,0.4119147,,0.4119147,0.3982841
50,1,0.7097293,,0.7097293,0.4358964
-150,1,0.3791047,,0.3791047,0.5335247
-50,1,0.5590975,,0.5590975,0.4939175
150,1,0.4033419,,0.4033419,0.6120187
50,1,0.6624524,,0.6624524,0.7310329
-150,1,0.3483197,,0.3483197,0.6877822
-50,1,0.5841011,,0.5841011,0.500034
150,1,0.369532,,0.369532,0.7044208
50,1,0.6509972,,0.6509972,0.6427754
-150,1,0.3615177,,0.3615177,0.52723
-50,1,0.7345026,,0.7345026,0.3391202
150,1,0.4753931,,0.4753931,0.7391454
50,1,0.7323369,,0.7323369,0.9560136
-150,1,0.3544255,,0.3544255,0.7600634
-50,1,0.5730454,,0.5730454,2.556903
150,1,0.3154721,,0.3154721,0.6812912
50,1,0.6784264,,0.6784264,0.514389
-150,1,0.2952341,,0.2952341,0.5499097
-50,1,0.5989076,,0.5989076,0.3269929
150,1,0.3762754,,0.3762754,0.6013981
50,1,0.7555867,,0.7555867,0.5688202
-150,1,0.4621212,,0.4621212,0.5502175
-50,1,0.4827837,,0.4827837,0.3060038
150,1,0.4571362,,0.4571362,0.4270808
50,1,0.6647148,,0.6647148,0.6331292
-150,1,0.2964553,,0.2964553,0.7981802
-50,1,0.5292183,,0.5292183,0.4710816
150,1,0.5839545,,0.5839545,1.0190418
50,1,0.8240631,,0.8240631,0.4693306
-150,1,0.463573,,0.463573,0.5759329
-50,1,0.5030057,,0.5030057,0.6548591
150,1,0.4647572,,0.4647572,0.3853617
50,1,0.8586236,,0.8586236,1.0945579
-150,1,0.8757844,,0.8757844,0.4104938
-50,1,0.6786355,,0.6786355,0.8182801
150,1,0.3917687,,0.3917687,0.6603507
50,1,0.7317502,,0.7317502,0.3509499
-150,1,0.4259999,,0.4259999,0.5874568
-50,1,0.561247,,0.561247,0.5499782
150,1,0.3960614,,0.3960614,0.5687741
50,1,0.6962683,,0.6962683,0.3584344
-150,1,0.3277502,,0.3277502,0.9486386
-50,1,0.4839238,,0.4839238,0.405844
150,1,0.6339886,,0.6339886,0.4359457
50,1,0.7055729,,0.7055729,0.5289467
-150,1,0.3955057,,0.3955057,0.5290659
-50,1,0.539571,,0.539571,0.5050371
150,1,0.5534476,,0.5534476,0.6373119
50,1,0.5938936,,0.5938936,0.8136612
-150,1,0.3462111,,0.3462111,0.3690309
-50,1,0.665658,,0.665658,0.4968992
150,1,0.4175194,,0.4175194,0.4559476
50,0,0.4817783,,0.4817783,0.296455
-150,1,0.446602,,0.446602,0.3366965
-50,1,0.5505659,,0.5505659,0.5743091
150,1,0.5422616,,0.5422616,0.4122971
50,1,0.6178925,,0.6178925,0.3832475
-150,1,0.6280743,,0.6280743,0.6883651
-50,1,0.5179014,,0.5179014,0.3814841
150,1,0.3130912,,0.3130912,0.4460467
50,1,0.7255938,,0.7255938,0.5908645
-150,1,0.383986,,0.383986,0.5539477
-50,1,0.4258658,,0.4258658,0.6247967
150,1,0.3752498,,0.3752498,0.4394887
50,1,1.1804194,,1.1804194,0.3466714
-150,1,0.3331588,,0.3331588,0.5756244
-50,1,0.3680589,,0.3680589,0.5100986
150,1,0.3520193,,0.3520193,0.3961529
50,1,0.6336176,,0.6336176,0.6501309
-150,1,0.4077285,,0.4077285,0.4222578
-50,1,0.5197443,,0.5197443,0.3695532
150,1,0.3231427,,0.3231427,0.4699289
50,0,0.1106961,,0.1106961,0.609768
-150,1,0.4257296,,0.4257296,0.4709517
-50,1,0.5365444,,0.5365444,0.5422773
150,1,0.5549331,,0.5549331,0.5347123
50,1,0.6224874,,0.6224874,0.8460526
-150,1,0.3411761,,0.3411761,0.4182513
-50,1,0.4051105,,0.4051105,0.3210456
150,1,0.3758174,,0.3758174,0.4875578
50,1,0.7621689,,0.7621689,0.4892652
-150,1,0.3420229,,0.3420229,0.436118
-50,1,0.575564,,0.575564,0.4709172
150,1,0.4601591,,0.4601591,0.3189277
50,1,0.7633953,,0.7633953,0.5834017
-150,1,0.4600804,,0.4600804,0.2706756
-50,1,0.7385918,,0.7385918,0.3911299
150,1,0.351184,,0.351184,0.4181053
50,1,0.6541014,,0.6541014,0.7803856
-150,1,0.4048837,,0.4048837,0.5413265
-50,1,0.406183,,0.406183,0.5604132
150,1,0.5481012,,0.5481012,0.3543224
50,1,0.6264256,,0.6264256,0.3850752
-150,1,0.4036796,,0.4036796,0.4234587
-50,1,0.465601,,0.465601,0.3455237
150,1,0.3669731,,0.3669731,0.5041614
50,1,0.7303071,,0.7303071,0.5705486
-150,1,0.4367778,,0.4367778,0.6022701
-50,1,0.7930907,,0.7930907,0.367004
150,1,0.3896375,,0.3896375,0.4833611
50,1,0.746459,,0.746459,0.5961322
-150,1,0.377397,,0.377397,0.4440306
-50,1,0.3402621,,0.3402621,0.3669883
150,1,0.4020329,,0.4020329,0.3915506
50,0,0.523688,,0.523688,0.484503
-150,1,0.4282401,,0.4282401,0.4027683
-50,1,0.4933749,,0.4933749,0.4236249
150,1,0.3177005,,0.3177005,0.3497895
50,1,0.6929964,,0.6929964,0.479803
-150,1,0.4640275,,0.4640275,0.3741967
-50,1,0.7325677,,0.7325677,0.5372828
150,1,0.4121824,,0.4121824,0.4307932
50,1,0.5798113,,0.5798113,0.5577711
-150,1,0.3611991,,0.3611991,0.441767
-50,1,0.3488435,,0.3488435,0.4898314
150,1,0.6723656,,0.6723656,0.4580163
50,1,0.5710932,,0.5710932,0.4348278
-150,1,0.3043021,,0.3043021,0.6190218
-50,1,0.3752009,,0.3752009,0.5431557
150,1,0.357892,,0.357892,0.4057062
50,1,0.7944126,,0.7944126,0.4695498
-150,1,0.3600976,,0.3600976,0.4433816
-50,1,0.5824819,,0.5824819,0.5263996
150,1,0.396765,,0.396765,0.3107018
50,1,0.6655052,,0.6655052,0.5867835
-150,1,0.3870012,,0.3870012,0.2989587
-50,1,0.6944411,,0.6944411,0.3958741
150,1,0.5580854,,0.5580854,0.5888574
50,1,0.959069,,0.959069,0.3409215
-150,1,0.4085674,,0.4085674,0.4492007
-50,0,0.4344808,,0.4344808,0.4671412
150,1,0.5736184,,0.5736184,0.3457089
50,1,0.7197239,,0.7197239,0.4077152
-150,1,0.3784226,,0.3784226,0.4436417
-50,1,0.4222396,,0.4222396,0.5015525
150,1,0.4671877,,0.4671877,0.7298263
50,1,0.8146679,,0.8146679,0.4793539
-150,1,0.4004635,,0.4004635,0.6616345
-50,1,0.2817261,,0.2817261,0.6382575
150,1,0.5985683,,0.5985683,0.5378292
50,1,0.6301547,,0.6301547,0.4274296
-150,1,0.313749,,0.313749,0.4325708
-50,1,0.358875,,0.358875,0.564954
150,1,0.3537186,,0.3537186,0.4589565
50,1,0.6365668,,0.6365668,0.4958333
-150,1,0.3828945,,0.3828945,0.5174583
-50,1,0.3874704,,,
-150,1,0.4960949,,,
150,1,0.3816387,,,
50,1,0.6314735,,,
150,1,0.5467266,,,
-50,1,0.7352946,,,
-150,1,0.4692406,,,
50,0,0.3376146,,,
-50,1,0.6680227,,,
50,1,0.7250854,,,
-150,1,0.3384237,,,
150,1,0.3999819,,,
-150,1,0.2823887,,,
50,1,0.7167546,,,
150,1,0.3610991,,,
-50,1,0.5407807,,,
50,1,0.6145466,,,
-50,1,0.5955154,,,
150,1,0.4712698,,,
-150,1,0.3372381,,,
-150,1,0.566791,,,
50,0,0.3817208,,,
-50,1,0.4855003,,,
150,1,0.5139951,,,
-50,1,0.50895,,,
150,1,0.6175053,,,
50,1,0.8335018,,,
-150,1,0.4048616,,,
-150,1,0.5900257,,,
-50,1,0.5058017,,,
50,1,0.6481998,,,
150,1,0.4407117,,,
50,1,0.8341178,,,
150,1,0.4340931,,,
-50,1,0.6221202,,,
-150,1,0.477439,,,
-150,1,0.7960457,,,
150,1,0.4842254,,,
50,1,0.5479677,,,
-50,1,0.4252489,,,
-50,1,0.5168129,,,
150,1,0.4464872,,,
-150,1,0.5247506,,,
50,1,0.574115,,,
-50,1,0.4692794,,,
150,1,0.4596882,,,
50,1,0.6474233,,,
-150,1,0.2945595,,,
-50,1,0.396641,,,
150,1,0.3791881,,,
-150,1,0.3128157,,,
50,0,0.5793824,,,
50,1,0.7312443,,,
-150,1,0.3982841,,,
150,1,0.4358964,,,
-50,1,0.5335247,,,
-150,1,0.4939175,,,
150,1,0.6120187,,,
50,1,0.7310329,,,
-50,1,0.6877822,,,
-150,1,0.500034,,,
150,1,0.7044208,,,
50,1,0.6427754,,,
-50,1,0.52723,,,
150,1,0.3391202,,,
-150,1,0.7391454,,,
-50,1,0.9560136,,,
50,0,0.7600634,,,
50,1,2.556903,,,
-50,1,0.6812912,,,
150,1,0.514389,,,
-150,1,0.5499097,,,
50,0,0.3269929,,,
-50,1,0.6013981,,,
-150,1,0.5688202,,,
150,1,0.5502175,,,
-150,1,0.3060038,,,
50,1,0.4270808,,,
150,1,0.6331292,,,
-50,1,0.7981802,,,
150,1,0.4710816,,,
50,1,1.0190418,,,
-50,1,0.4693306,,,
-150,1,0.5759329,,,
-50,1,0.6548591,,,
150,1,0.3853617,,,
50,1,1.0945579,,,
-150,1,0.4104938,,,
-50,1,0.8182801,,,
-150,1,0.6603507,,,
50,0,0.3509499,,,
150,1,0.5874568,,,
150,1,0.5499782,,,
50,0,0.5687741,,,
-150,1,0.3584344,,,
-50,1,0.9486386,,,
-50,1,0.405844,,,
-150,1,0.4359457,,,
50,0,0.5289467,,,
150,1,0.5290659,,,
150,1,0.5050371,,,
-150,1,0.6373119,,,
50,1,0.8136612,,,
-50,1,0.3690309,,,
50,0,0.4968992,,,
150,1,0.4559476,,,
-150,1,0.296455,,,
-50,1,0.3366965,,,
-50,1,0.5743091,,,
150,1,0.4122971,,,
-150,0,0.3832475,,,
50,1,0.6883651,,,
-50,1,0.3814841,,,
150,1,0.4460467,,,
50,1,0.5908645,,,
-150,1,0.5539477,,,
50,1,0.6247967,,,
150,1,0.4394887,,,
-150,1,0.3466714,,,
-50,1,0.5756244,,,
-150,1,0.5100986,,,
50,0,0.3961529,,,
150,1,0.6501309,,,
-50,1,0.4222578,,,
-150,1,0.3695532,,,
-50,1,0.4699289,,,
50,1,0.609768,,,
150,1,0.4709517,,,
-50,1,0.5422773,,,
50,1,0.5347123,,,
150,1,0.8460526,,,
-150,1,0.4182513,,,
-50,1,0.3210456,,,
-150,1,0.4875578,,,
50,0,0.4892652,,,
150,1,0.436118,,,
150,1,0.4709172,,,
-150,1,0.3189277,,,
50,1,0.5834017,,,
-50,1,0.2706756,,,
-150,1,0.3911299,,,
-50,1,0.4181053,,,
50,1,0.7803856,,,
150,1,0.5413265,,,
50,1,0.5604132,,,
-150,1,0.3543224,,,
150,1,0.3850752,,,
-50,1,0.4234587,,,
-50,1,0.3455237,,,
-150,1,0.5041614,,,
50,1,0.5705486,,,
150,1,0.6022701,,,
150,1,0.367004,,,
-150,1,0.4833611,,,
50,1,0.5961322,,,
-50,1,0.4440306,,,
150,1,0.3669883,,,
-50,1,0.3915506,,,
50,1,0.484503,,,
-150,1,0.4027683,,,
50,1,0.4236249,,,
-150,1,0.3497895,,,
150,1,0.479803,,,
-50,0,0.3741967,,,
150,1,0.5372828,,,
-50,1,0.4307932,,,
50,1,0.5577711,,,
-150,1,0.441767,,,
-50,0,0.4898314,,,
-150,1,0.4580163,,,
150,1,0.4348278,,,
50,1,0.6190218,,,
-150,1,0.5431557,,,
50,0,0.4057062,,,
-50,1,0.4695498,,,
150,1,0.4433816,,,
150,1,0.5263996,,,
-150,1,0.3107018,,,
50,1,0.5867835,,,
-50,1,0.2989587,,,
50,1,0.3958741,,,
-50,1,0.5888574,,,
150,1,0.3409215,,,
-150,0,0.4492007,,,
-50,1,0.4671412,,,
50,0,0.3457089,,,
-150,1,0.4077152,,,
150,1,0.4436417,,,
-150,1,0.5015525,,,
50,1,0.7298263,,,
150,1,0.4793539,,,
-50,1,0.6616345,,,
50,1,0.6382575,,,
-50,1,0.5378292,,,
-150,1,0.4274296,,,
150,1,0.4325708,,,
150,1,0.564954,,,
-150,1,0.4589565,,,
-50,1,0.4958333,,,
50,1,0.5174583,,,
